School Name,Region,Starting Median Salary,Mid-Career Median Salary,Mid-Career 10th Percentile Salary,Mid-Career 25th Percentile Salary,Mid-Career 75th Percentile Salary,Mid-Career 90th Percentile Salary,School Type
Ursinus College,Northeastern,42100.0,80000.0,"$35,600.00","$54,300.00","$100,000.00","$160,000.00",Liberal Arts
University of New Hampshire (UNH),Northeastern,41800.0,78300.0,"$41,700.00","$56,400.00","$114,000.00","$147,000.00",Party
University of New Hampshire (UNH),Northeastern,41800.0,78300.0,"$41,700.00","$56,400.00","$114,000.00","$147,000.00",State
University of Massachusetts (UMass) - Boston,Northeastern,45600.0,78200.0,"$36,300.00","$53,800.00","$109,000.00","$151,000.00",State
State University of New York (SUNY) at Oswego,Northeastern,38000.0,77800.0,"$40,400.00","$53,000.00","$115,000.00","$169,000.00",State
University of Massachusetts (UMass) - Dartmouth,Northeastern,43200.0,77700.0,"$43,300.00","$56,200.00","$107,000.00","$132,000.00",State
State University of New York (SUNY) at Oneonta,Northeastern,37500.0,76700.0,"$40,000.00","$54,300.00","$97,700.00","$155,000.00",State
State University of New York (SUNY) at Plattsburgh,Northeastern,40800.0,76200.0,"$38,400.00","$54,100.00","$105,000.00","$136,000.00",State
Penn State - Harrisburg,Northeastern,45700.0,74000.0,"$44,000.00","$53,100.00","$104,000.00","$150,000.00",State
Fitchburg State College,Northeastern,42400.0,72600.0,"$43,300.00","$56,100.00","$99,600.00","$151,000.00",State
University Of Maine,Northeastern,41200.0,72100.0,"$41,700.00","$55,600.00","$99,300.00","$141,000.00",State
State University of New York (SUNY) at Potsdam,Northeastern,38000.0,70300.0,"$35,100.00","$51,200.00","$100,000.00","$179,000.00",State
State University of New York (SUNY) at Fredonia,Northeastern,37800.0,66200.0,"$32,800.00","$44,200.00","$93,300.00","$181,000.00",State
University of Southern Maine,Northeastern,39400.0,63600.0,"$40,400.00","$47,900.00","$85,700.00","$117,000.00",State
